ID,Make,Model,Year,Trim,Description,Class,URL,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Gross weight (lbs),Cylinders,Horsepower (HP),Valves,Valve timing,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA mileage (mpg),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Cargo capacity (cu ft)
1,Lexus,CT,2011,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2011/oem/2011_lexus_ct-200h_4dr-hatchback_premium_fq_oem_2_400.jpg,Hatchback,170.1,69.5,56.7,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,37.8,53,41.5,53.9,37,51.8,32.9,52.6,14.3
2,Lexus,CT,2011,200h Premium - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2011/oem/2011_lexus_ct-200h_4dr-hatchback_premium_fq_oem_2_400.jpg,Hatchback,170.1,69.5,56.7,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,37.8,53,41.5,53.9,37,51.8,32.9,52.6,14.3
3,Lexus,CT,2012,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2012/oem/2012_lexus_ct-200h_4dr-hatchback_premium_fq_oem_3_400.jpg,Hatchback,170.1,69.5,56.7,102.4,3146,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.9,53.1,42.1,54,37.1,51.8,32.8,52.6,14.3
4,Lexus,CT,2012,200h Premium - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2012/oem/2012_lexus_ct-200h_4dr-hatchback_premium_fq_oem_3_400.jpg,Hatchback,170.1,69.5,56.7,102.4,3146,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.3,53.1,42.1,54,37.1,51.8,32.9,52.6,14.3
5,Lexus,CT,2013,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2012/oem/2012_lexus_ct-200h_4dr-hatchback_premium_fq_oem_3_400.jpg,Hatchback,170.1,69.5,56.7,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.3,53.1,42.1,54,37.1,51.8,32.9,52.6,14.3
6,Lexus,CT,2014,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2014/oem/2014_lexus_ct-200h_4dr-hatchback_base_fq_oem_3_400.jpg,Hatchback,171.2,69.5,57.3,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.3,53,42.1,53.9,37,51.8,32.9,52.6,14.3
7,Lexus,CT,2015,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2014/oem/2014_lexus_ct-200h_4dr-hatchback_base_fq_oem_3_400.jpg,Hatchback,171.2,69.5,57.3,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.3,53,42.1,53.9,37,51.8,32.9,52.6,14.3
8,Lexus,CT,2016,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2016/oem/2016_lexus_ct-200h_4dr-hatchback_base_fq_oem_10_400.jpg,Hatchback,171.2,69.5,57.3,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.3,53,42.1,53.9,37,51.8,32.9,52.6,14.3
9,Lexus,CT,2017,200h - 4dr Hatchback,(1.8L 4-cyl. Hybrid CVT Automatic)                     ,Compact car,https://media.ed.edmunds-media.com/lexus/ct-200h/2017/oem/2017_lexus_ct-200h_4dr-hatchback_base_fq_oem_1_400.jpg,Hatchback,171.3,69.5,57.3,102.4,3130,4065,I4,134,16, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,11.9, 43/40 mpg,38.4,53,42.1,53.9,37,51.8,32.9,52.6,14.3
10,Lexus,ES,1990,ES 250 - Sedan,(2.5L V6 5-speed Manual)                     ,Mid-size car,https://media.ed.edmunds-media.com/lexus/es-250/1990/oem/1990_lexus_es-250_sedan_base_fq_oem_1_400.jpg,Sedan,183.1,66.9,53.1,102.4,3163,,V6,156,,, Front wheel drive , 5-speed manual, Gas, Regular unleaded,15.9, 17/24 mpg,37.8,,42.9,53.9,36.6,,32.5,53.3,13.1
